text,eID,event,fact_value,relative_source,sourcePhrase
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e1,said,CT+,AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e11,requested,CT+,AUTHOR,Timex
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e123,beneficiaries,CT+,officials_AUTHOR,U.S. trade officials
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e123,beneficiaries,Uu,AUTHOR,U.S. trade officials
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e13,said,CT+,AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e14,decided,CT+,House_AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e14,decided,Uu,AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e15,grant,CT+,House_AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e15,grant,Uu,AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e16,turned,CT+,House_AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e16,turned,Uu,AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e2,approved,CT+,House_AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e2,approved,Uu,AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e22,said,CT+,AUTHOR,U.S. trade officials
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e23,totaled,CT+,aide_AUTHOR,an aide to U.S. Trade Representative Carla Hills
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e23,totaled,Uu,AUTHOR,an aide to U.S. Trade Representative Carla Hills
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e25,treatment,CT+,House_AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e25,treatment,Uu,AUTHOR,The White House
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e31,treatment,CT-,House_AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e31,treatment,Uu,AUTHOR,The White House Mr. Bush
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e34,action,CT+,officials_AUTHOR,U.S. trade officials
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e34,action,Uu,AUTHOR,U.S. trade officials
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e39,eligible,CT+,AUTHOR,an aide to U.S. Trade Representative Carla Hills
