event,eID,event_word,fact_value,fact_value_count
https://w3id.org/provcorp/np/protected/annotation-fb/event/ABC19980304.1830.1636/e30.RA8wt1MaH2MTkn_u-pF7lv0kJ9oR7B2y_7pjUpjtjDFts#annotation,"""e30""","""flown""","""CT+""",2
https://w3id.org/provcorp/np/protected/annotation-fb/event/AP900816-0139/e320.RAsBT1V5_Lxpy3iFz_N-AeBTfmKnwzzX9rJyT8htmvIFk#annotation,"""e320""","""pray""","""Uu""",1
https://w3id.org/provcorp/np/protected/annotation-fb/event/AP900816-0139/e320.RAsBT1V5_Lxpy3iFz_N-AeBTfmKnwzzX9rJyT8htmvIFk#annotation,"""e320""","""pray""","""CT+""",1
https://w3id.org/provcorp/np/protected/annotation-fb/event/AP900816-0139/e63.RAOx-dk1m2R9NDsfg2JuZY66a_iTSsTDOryLFrtpbHEYI#annotation,"""e63""","""pray""","""Uu""",1
https://w3id.org/provcorp/np/protected/annotation-fb/event/AP900816-0139/e63.RAOx-dk1m2R9NDsfg2JuZY66a_iTSsTDOryLFrtpbHEYI#annotation,"""e63""","""pray""","""CT+""",1
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980213.1320/e12.RA6Jy5DSSJclZEtcvXGLhvQCnFr74NXv0uCpEkPaonxvg#annotation,"""e12""","""leave""","""CT+""",2
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980213.1320/e12.RA6Jy5DSSJclZEtcvXGLhvQCnFr74NXv0uCpEkPaonxvg#annotation,"""e12""","""leave""","""Uu""",2
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980213.1320/e229.RAtknU6elDNXtiVy1qYYWN2aEMzdgLCLUGL1RJysmFa2o#annotation,"""e229""","""flights""","""CT+""",2
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980213.1320/e229.RAtknU6elDNXtiVy1qYYWN2aEMzdgLCLUGL1RJysmFa2o#annotation,"""e229""","""flights""","""Uu""",2
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980227.0468/e2.RAqiHjU3TiGmhF2Ej0vjriD6jRWKdRhxLCr7r_sOW53rg#annotation,"""e2""","""help""","""Uu""",4
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980227.0487/e53.RAPn1yWV-6FDWVzeNZMkjCWYJXXZ00XGMWRvjINkw220M#annotation,"""e53""","""said""","""CT+""",1
https://w3id.org/provcorp/np/protected/annotation-fb/event/APW19980227.0487/e53.RAPn1yWV-6FDWVzeNZMkjCWYJXXZ00XGMWRvjINkw220M#annotation,"""e53""","""said""","""NA""",2
