text,annotated_fvs,
https://w3id.org/provcorp/np/protected/text/wsj_0006.RAE8Rqld-WlFeyETgOeb23yxPwUyVh5D0kmpkbcEAJ30k#text,"Uu,CT+,PR+",
https://w3id.org/provcorp/np/protected/text/ea980120.1830.0456.RAavdDqY3foS1IbyQ1xRsH2dD-iyKjua4FE-61RL7OvcQ#text,"CT+,Uu,PS+,CTu",
https://w3id.org/provcorp/np/protected/text/wsj_0558.RA0SnPcIMKKnnU_OK2zeCqQjn-DnNre7HjmvtA0xAyvjo#text,"CT+,Uu,CT-",
https://w3id.org/provcorp/np/protected/text/wsj_0542.RAJ9OONk7VQ0BCZaOLRuwfqLPlsHy0msaYd8j2nUT5Reo#text,"CT+,Uu,CT-,PR+",
https://w3id.org/provcorp/np/protected/text/wsj_0329.RApj0AqnIWT2-ZHGwQ6howCwdnrHwdHix1Excit0eLZ2A#text,"CT+,Uu",
https://w3id.org/provcorp/np/protected/text/wsj_1039.RAQRCNVq0hVQZ7XZ795ssF_MvejAEY4DQqp7HkYL30gmI#text,"CT+,Uu,PR+",
https://w3id.org/provcorp/np/protected/text/APW19990506.0155.RAHVhJknuJchrQOFX2mEBH3wlwA24rn-X76fb21BILc8M#text,"CT+,Uu,PS+,CT-,PR+",
https://w3id.org/provcorp/np/protected/text/wsj_0612.RATLx2BJ-8_QhjVkofX21TEgj9pliVevV0iADPyi0oLYM#text,CT+,
https://w3id.org/provcorp/np/protected/text/APW19980301.0720.RAkjsm_pAS3Dec0MVqk2YYr-mrq7s7m2KEJzrcOoB9a-Y#text,"Uu,CT+,CT-,PR+",
https://w3id.org/provcorp/np/protected/text/wsj_0762.RADAE5zYIXL7W3x_chP9cw9WQ7u-Ib14_7B_5DFvSUcF4#text,"CT+,Uu,PR+",
https://w3id.org/provcorp/np/protected/text/APW19980308.0201.RAvoMizrNxGfb3ueqU64M3cgv443sVDQtLHmx_uYDh9Z0#text,"CT+,Uu,CT-,PR+,PS+",
https://w3id.org/provcorp/np/protected/text/wsj_0325.RA5UqTKM-eawiVCFk1zXm100aoLF90UqHeDd1S6ggF2wA#text,"CT+,Uu",
https://w3id.org/provcorp/np/protected/text/ed980111.1130.0089.RAYlMhK9tYbEEXtGrZHcwRPsEH0CXfyBnuDtvRsHOvTZc#text,"CT+,CT-,Uu,PR-",
https://w3id.org/provcorp/np/protected/text/wsj_0292.RA5b-EPnGsGaPMVd2hpsRqGiQHcbtqlpA2vqW36JNCFDQ#text,"CT+,Uu",
https://w3id.org/provcorp/np/protected/text/wsj_0924.RAledNq1odL17pcuxtOz3-nFEr3l9HKMYEuWWLzrwWRpc#text,"CT+,Uu",
https://w3id.org/provcorp/np/protected/text/VOA19980305.1800.2603.RAu1I_rkD2rIIk3fd4bx8rar3b3nJ0ey3jwsyw2nw18W0#text,"CT+,Uu,CT-,PR-",
https://w3id.org/provcorp/np/protected/text/XIE19990313.0031.RAIKWJfaruYJWsCQ7tZj7URUQemHG8EFqeY7Pk6zmvt0A#text,"CT+,Uu,CT-",
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,"Uu,CT+,PR+,CT-",
https://w3id.org/provcorp/np/protected/text/wsj_0157.RAhRPp_EzU_xi_PiJfcpMp5GUBIvP42YVzuwE5znVNWG0#text,"CT+,Uu,CT-",
https://w3id.org/provcorp/np/protected/text/wsj_0520.RA0gbsBZnKE_Gdd736nUtbbb5ZC5-3-12Xew_5q4LJeYM#text,"CT+,Uu",
https://w3id.org/provcorp/np/protected/text/wsj_0662.RAz8W1SuHXdryZpNLZahsUvgxd9YBjK-2oXZYT95JJSI0#text,"Uu,CT+,CT-",
https://w3id.org/provcorp/np/protected/text/wsj_0168.RAwTJvUVO_uA7dpmJVSXiotdcRjWPh9aHHcxu-4Vq5omE#text,"CT+,Uu,PS+,NA",
https://w3id.org/provcorp/np/protected/text/wsj_0332.RAEU912E2sn-muYznsXC81FzWklhWa8K4rHObeJdqe19M#text,"CT+,Uu,PS+,CT-",
