text,event,fv,count
https://w3id.org/provcorp/np/protected/text/wsj_0938.RAhIbwaw_8_aYTcNR8bHW9Tc8JVLus6fN-qhHWUtzvwZQ#text,glad,Uu,2
https://w3id.org/provcorp/np/protected/text/wsj_0938.RAhIbwaw_8_aYTcNR8bHW9Tc8JVLus6fN-qhHWUtzvwZQ#text,consolidating,Uu,2
https://w3id.org/provcorp/np/protected/text/wsj_0973.RA2GuFFuMDxIXvN3A0F4p-1V8P0RYROQ28L7YXceBDDA0#text,handle,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0973.RA2GuFFuMDxIXvN3A0F4p-1V8P0RYROQ28L7YXceBDDA0#text,struck,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0981.RADx5p8JBNO_g_uTtGi_QE6yFUefGqa6LxmmN7jeC-9X0#text,issuance,CT+,2
https://w3id.org/provcorp/np/protected/text/wsj_0981.RADx5p8JBNO_g_uTtGi_QE6yFUefGqa6LxmmN7jeC-9X0#text,show,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_0991.RAvv5lN4qtFrnvwwJWStalFpCfqzUHpWDhP_Cd0Uw6Mkc#text,rebounding,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_1003.RAhzKMCZrDvPWNRU1ggdehZvYCOPPpf5R8aeVqCaPFh00#text,outages,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1003.RAhzKMCZrDvPWNRU1ggdehZvYCOPPpf5R8aeVqCaPFh00#text,negotiating,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1006.RAI0Zk_KL-TDwOEoJgp29eYWy2CN72j9FHTeBMcyEYAq4#text,$6.50 ,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_1006.RAI0Zk_KL-TDwOEoJgp29eYWy2CN72j9FHTeBMcyEYAq4#text,performance,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1011.RAo28-1jK6cSlVpx3nuRaPFxbmuiPAp5d5WFf9gKF4q0k#text,$133.10 ,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1011.RAo28-1jK6cSlVpx3nuRaPFxbmuiPAp5d5WFf9gKF4q0k#text,$715.10 ,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1013.RAoHHvYRdlf42lrkp6EzjsFO_zJdrh7mg8Z-Wannb5duA#text,divest,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_1025.RABGEyAwQOLgpwzEugjfaakgF6kMvpX9HUa_1C5ByLpy0#text,leap,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_1035.RA6WFB2mnagnQbgNPbKVKz8y4xIKaOYmVEVKs63ybaffc#text,$7.40 ,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1038.RA51VmB1iJT-5zqHlriQdnRLJAxQhQnOT2DfxHn0yIRLE#text,winding,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_1039.RAQRCNVq0hVQZ7XZ795ssF_MvejAEY4DQqp7HkYL30gmI#text,$52.20 ,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1040.RAwJf4I7NLjzDFZQDYBualz2WdI8Z-tsu7Xj3ou3RyWa0#text,apply,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_1040.RAwJf4I7NLjzDFZQDYBualz2WdI8Z-tsu7Xj3ou3RyWa0#text,apply,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0575.RA3nJvTw9Y32t5YJowwf7lQ36B4lvfmrX5N6Y-mBH3LuU#text,bid,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0575.RA3nJvTw9Y32t5YJowwf7lQ36B4lvfmrX5N6Y-mBH3LuU#text,lose,CT+,2
https://w3id.org/provcorp/np/protected/text/wsj_0585.RAxBi6ZIMHctgSotskHEUqNgm8QR75zV6sf9DcqP5Jh0g#text,lower,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0586.RArE7TquS9T6yInSegFakG0l_bGGvnYp7dRahM5Dfd0qQ#text,efforts,PS+,1
https://w3id.org/provcorp/np/protected/text/wsj_0661.RArF-RXIXVqwjLzVquALXLxMNzNWQ3n73pd5HstQrcXZg#text,financing,PS+,1
https://w3id.org/provcorp/np/protected/text/wsj_0675.RAdYT9fXu2oUEYfEwzHK9F-zk7-AiAYOUHyGEWCPXpPcg#text,fail,PS+,1
https://w3id.org/provcorp/np/protected/text/wsj_0679.RAx4VsgW5qHN0Q6XfGUHrAw3CUAKufYIck8iVeiersIjk#text,market,Uu,2
https://w3id.org/provcorp/np/protected/text/wsj_0736.RAIAjofdzNfV4VIACcgYwGApZJB2roIHDk1v9aXXZFXCk#text,sell,CT-,1
https://w3id.org/provcorp/np/protected/text/wsj_0768.RA2zON3M32ngmvLiocCD_NM-Q2VXl02V6e9mdLu8TBeOA#text,cash,Uu,1
https://w3id.org/provcorp/np/protected/text/wsj_0778.RAH6QAgVEWuZcUvj24PaPPCxq3OJsO29H-tN-yy2Y97W8#text,power,CT+,1
https://w3id.org/provcorp/np/protected/text/wsj_0778.RAH6QAgVEWuZcUvj24PaPPCxq3OJsO29H-tN-yy2Y97W8#text,sell,Uu,2
https://w3id.org/provcorp/np/protected/text/wsj_0810.RAupC33CL5rz7HRU-equAW2UUNzK78F28ayCkIxPCVvDI#text,bid,CT+,10
https://w3id.org/provcorp/np/protected/text/wsj_0816.RA1lxWu2MeD87LuUkNlJH4mjqCMYZMxMA1x1mq_0igHe8#text,preferred,CT+,1
